750,1.9981e-13,8.6516e-16,1.6881e-16,2.745e-17,8.6134e-17,1.7682e-13
741.02,2.0423e-13,8.2794e-16,1.9153e-16,2.884e-17,1.1138e-16,1.8254e-13
732.25,2.0699e-13,7.8562e-16,2.1713e-16,3.0098e-17,1.602e-16,1.8744e-13
723.68,2.0766e-13,7.6104e-16,2.4627e-16,3.1158e-17,2.4862e-16,1.9116e-13
715.32,2.0608e-13,7.849e-16,2.7943e-16,3.1984e-17,3.9688e-16,1.9363e-13
707.14,2.0189e-13,8.9925e-16,3.1684e-16,3.2518e-17,6.3641e-16,1.9471e-13
699.15,1.9411e-13,1.1871e-15,3.5892e-16,3.2611e-17,1.0225e-15,1.9372e-13
691.34,1.8168e-13,1.8008e-15,4.0665e-16,3.2064e-17,1.6397e-15,1.8969e-13
683.7,1.6405e-13,2.9681e-15,4.6107e-16,3.0704e-17,2.6007e-15,1.8178e-13
676.23,1.4111e-13,5.0142e-15,5.2279e-16,2.838e-17,4.0606e-15,1.6936e-13
668.92,1.1301e-13,8.4286e-15,5.9239e-16,2.4912e-17,6.2399e-15,1.5151e-13
661.76,8.1496e-14,1.386e-14,6.7116e-16,2.0232e-17,9.3859e-15,1.2743e-13
654.76,5.2223e-14,2.1832e-14,7.6099e-16,1.4763e-17,1.3602e-14,9.8228e-14
647.91,3.4917e-14,3.2196e-14,8.6345e-16,9.6989e-18,1.8607e-14,6.8565e-14
641.19,3.9273e-14,4.3726e-14,9.796e-16,6.7187e-18,2.3648e-14,4.5764e-14
634.62,6.8768e-14,5.44e-14,1.1111e-15,7.1324e-18,2.7745e-14,3.6147e-14
628.17,1.1775e-13,6.234e-14,1.2611e-15,1.1084e-17,3.0177e-14,4.1343e-14
621.86,1.7468e-13,6.6773e-14,1.4329e-15,1.7515e-17,3.0842e-14,5.7751e-14
615.67,2.2882e-13,6.8215e-14,1.6292e-15,2.4914e-17,3.0209e-14,7.9402e-14
609.61,2.7462e-13,6.7804e-14,1.8523e-15,3.218e-17,2.8918e-14,1.0145e-13
603.66,3.114e-13,6.649e-14,2.1068e-15,3.8893e-17,2.7414e-14,1.2157e-13
597.83,3.4037e-13,6.4748e-14,2.3995e-15,4.5016e-17,2.5882e-14,1.3908e-13
592.11,3.6263e-13,6.2807e-14,2.7365e-15,5.0546e-17,2.4396e-14,1.5381e-13
586.49,3.7919e-13,6.0893e-14,3.1229e-15,5.5507e-17,2.3033e-14,1.657e-13
580.99,3.9136e-13,5.9172e-14,3.565e-15,6.0086e-17,2.1847e-14,1.7516e-13
575.58,4.0046e-13,5.7631e-14,4.0745e-15,6.4568e-17,2.0806e-14,1.8284e-13
570.28,4.0715e-13,5.6159e-14,4.6656e-15,6.9115e-17,1.9843e-14,1.8918e-13
565.07,4.1165e-13,5.4734e-14,5.3508e-15,7.3747e-17,1.8942e-14,1.9425e-13
559.95,4.1421e-13,5.3431e-14,6.141e-15,7.8588e-17,1.8132e-14,1.9808e-13
554.93,4.1528e-13,5.225e-14,7.0537e-15,8.4002e-17,1.7407e-14,2.01e-13
550,4.1519e-13,5.1063e-14,8.1179e-15,9.0354e-17,1.6704e-14,2.034e-13
