1000,1.2615e-14,1.1394e-15,8.2552e-18,1.1434e-19,1.3763e-14
970.87,1.4546e-14,1.7033e-15,1.0424e-17,1.647e-19,1.626e-14
943.4,1.6728e-14,2.5889e-15,1.3087e-17,2.4238e-19,1.9331e-14
917.43,1.9189e-14,4.0247e-15,1.6342e-17,3.6497e-19,2.323e-14
892.86,2.1959e-14,6.4525e-15,2.0303e-17,5.5851e-19,2.8433e-14
869.57,2.5074e-14,1.0792e-14,2.5103e-17,8.6048e-19,3.5891e-14
847.46,2.8569e-14,1.9142e-14,3.0896e-17,1.3258e-18,4.7743e-14
826.45,3.248e-14,3.6846e-14,3.7863e-17,2.0395e-18,6.9366e-14
806.45,3.6825e-14,7.8744e-14,4.6212e-17,3.1272e-18,1.1562e-13
787.4,4.1553e-14,1.7847e-13,5.6186e-17,4.5712e-18,2.2008e-13
769.23,4.6673e-14,2.8596e-13,6.807e-17,5.1737e-18,3.3271e-13
751.88,5.282e-14,2.1225e-13,8.2199e-17,5.2693e-18,2.6516e-13
735.29,5.9922e-14,1.2393e-13,9.8964e-17,7.2429e-18,1.8395e-13
719.42,6.7842e-14,7.8453e-14,1.1883e-16,1.1082e-17,1.4643e-13
704.23,7.6712e-14,5.5028e-14,1.4234e-16,1.7265e-17,1.319e-13
689.66,8.6699e-14,4.1738e-14,1.7013e-16,2.7101e-17,1.2863e-13
675.68,9.797e-14,3.3502e-14,2.0297e-16,4.2901e-17,1.3172e-13
662.25,1.1066e-13,2.8028e-14,2.4173e-16,6.8649e-17,1.3899e-13
649.35,1.2473e-13,2.4181e-14,2.8741e-16,1.1153e-16,1.4931e-13
636.94,1.3966e-13,2.1355e-14,3.4107e-16,1.8552e-16,1.6154e-13
625,1.5361e-13,1.9196e-14,4.0362e-16,3.2057e-16,1.7353e-13
613.5,1.6187e-13,1.7491e-14,4.7541e-16,5.9004e-16,1.8043e-13
602.41,1.5544e-13,1.61e-14,5.5593e-16,1.2095e-15,1.733e-13
591.72,1.2557e-13,1.493e-14,6.4555e-16,3.015e-15,1.4416e-13
581.4,7.8397e-14,1.3912e-14,7.517e-16,1.1131e-14,1.0419e-13
571.43,3.5764e-14,1.2995e-14,8.9588e-16,5.202e-14,1.0168e-13
561.8,1.0917e-14,1.214e-14,1.0595e-15,1.6634e-14,4.075e-14
552.49,1.5789e-15,1.131e-14,1.2816e-15,5.9543e-15,2.0125e-14
543.48,1.1639e-15,1.0474e-14,1.5773e-15,3.2196e-15,1.6435e-14
534.76,4.9144e-15,9.5991e-15,1.9789e-15,2.14e-15,1.8632e-14
526.32,1.0269e-14,8.6512e-15,2.5531e-15,1.5946e-15,2.3068e-14
518.13,1.5997e-14,7.593e-15,3.4448e-15,1.2705e-15,2.8305e-14
510.2,2.1543e-14,6.3849e-15,5.017e-15,1.0524e-15,3.3997e-14
502.51,2.6688e-14,4.9939e-15,8.3173e-15,8.8746e-16,4.0887e-14
495.05,3.1426e-14,3.4311e-15,1.4594e-14,7.4487e-16,5.0196e-14
487.8,3.5687e-14,1.9157e-15,7.2986e-15,6.5087e-16,4.5552e-14
480.77,3.9325e-14,1.2556e-15,1.0134e-15,5.8118e-16,4.2176e-14
473.93,4.2595e-14,4.1708e-15,4.1003e-16,5.1214e-16,4.7688e-14
467.29,4.5458e-14,1.8716e-14,7.1724e-16,4.5796e-16,6.535e-14
460.83,4.7871e-14,4.4432e-14,1.2171e-15,4.0503e-16,9.3925e-14
454.55,5.0023e-14,5.4482e-14,1.7938e-15,3.2616e-16,1.0662e-13
448.43,5.194e-14,5.0032e-14,2.4351e-15,2.3761e-16,1.0465e-13
442.48,5.3313e-14,4.3594e-14,3.1547e-15,1.5546e-16,1.0022e-13
436.68,5.3515e-14,3.831e-14,3.9775e-15,1.2024e-16,9.5923e-14
431.03,5.0598e-14,3.4191e-14,4.9384e-15,3.1379e-16,9.0041e-14
425.53,4.1452e-14,3.084e-14,6.0847e-15,1.3013e-15,7.9678e-14
420.17,2.6226e-14,2.7907e-14,7.4793e-15,3.4911e-15,6.5103e-14
414.94,1.4681e-14,2.5136e-14,9.1756e-15,4.2431e-15,5.3236e-14
409.84,1.2749e-14,2.2383e-14,1.1067e-14,3.5252e-15,4.9725e-14
404.86,1.5806e-14,1.9704e-14,1.2174e-14,2.7897e-15,5.0473e-14
400,1.9643e-14,1.8368e-14,1.0331e-14,2.2497e-15,5.0592e-14
